Rec,Inf,UID,Name,Best Pos,Age,Club,Division,Mins,Tgls/90,Tcon/90,Gls,Goals Outside Box,Shot/90,xG/shot,Shot %,ShT/90,Shots Outside Box/90,Gls/90,xG/90,NP-xG/90,xG-OP,Conv %,Ast,Asts/90,Ps A/90,Pas %,xA/90,OP-KP/90,Ch C/90,Drb/90,Pr passes/90,OP-Crs A/90,OP-Cr %,Crs A/90,Cr C/A,Tck A,Tck R,Pres A/90,Pres C/90,Poss Won/90,Poss Lost/90,K Tck/90,Int/90,Clr/90,Blk/90,Shts Blckd/90,Aer A/90,Hdr %,K Hdrs/90,Sprints/90,Dist/90,Gl Mst,Fls,FA,Yel,Red,Wage,Transfer Value
- - -,Int,96029182,Przemysław Frankowski,WB (R),31,Rennes,Ligue 1 Uber Eats,"2,158",1.42,1.08,0,0,0.33,0.07,38%,0.13,0.29,-,0.02,0.02,-0.55,-,7,0.29,48.5,83%,0.27,1.42,0.83,1.79,6.17,3.59,25%,6.3,22%,64,86%,12.39,3.75,8.26,13.43,0.04,2.5,0.75,0.58,0.17,2.5,35%,0.04,17.39,13.7km,0,11,18,3,0,"£27,000 p/w",£550K - £7.6M
- - -,,84151685,Felix Mambimbi,AM (L),25,Le Havre,Ligue 1 Uber Eats,"1,406",0.9,1.41,0,0,1.41,0.12,32%,0.45,0.64,-,0.16,0.16,-2.57,-,4,0.26,30.92,85%,0.24,1.6,0.83,4.29,3.07,6.08,17%,6.66,17%,64,78%,13.12,2.88,7.68,12.61,0,2.56,1.02,0.51,0.19,5.25,17%,0,14.98,13.8km,0,31,21,4,1,"£1,800 p/w",£650K - £1.5M
- - -,,18090950,Thibaud Verlinden,M (R),26,OH Leuven,Jupiler Pro League,"1,300",1.18,0.9,2,1,1.66,0.14,42%,0.69,0.83,0.14,0.24,0.24,-1.4,8%,3,0.21,34.68,86%,0.27,1.38,0.83,3.81,2.56,4.36,16%,7.62,15%,37,70%,15.02,4.5,7.75,13.43,0,2.98,0.35,0.42,0.07,4.15,13%,0,14.05,13.5km,0,11,16,0,0,"£2,800 p/w",£200K - £2M
- - -,,30034782,Arbnor Muja,AM (L),27,Sint-Truiden,Jupiler Pro League,"2,446",1.66,1.14,7,3,1.99,0.1,46%,0.92,0.81,0.26,0.2,0.2,1.58,13%,8,0.29,35.58,81%,0.27,2.13,0.81,3.53,3.39,8.35,16%,10.3,17%,99,80%,15.82,3.72,8.39,17.07,0.11,2.21,0.81,0.33,0,5.92,43%,0.11,10.96,13.7km,0,62,46,13,1,"£27,000 p/w",£35K - £5.6M
- - -,,2000025698,Rémy Labeau Lascary,AM (R),23,Brest,Ligue 1 Uber Eats,"1,683",1.66,1.23,5,1,2.46,0.1,54%,1.34,0.86,0.27,0.25,0.25,0.26,11%,5,0.27,27.27,83%,0.24,1.93,0.8,3.37,2.99,6.47,15%,6.79,15%,63,84%,14.12,4.44,8.34,13.74,0,1.98,1.18,0.37,0.16,7.43,46%,0.05,14.44,13.5km,0,29,46,3,0,"£8,500 p/w",£450K - £4.5M
- - -,,49054676,Silas,AM (R),27,Stuttgart,Bundesliga,"2,307",1.37,1.33,6,1,2.11,0.13,50%,1.05,0.62,0.23,0.26,0.2,-0.77,11%,4,0.16,35.66,80%,0.22,1.68,0.78,3.94,4.8,7.33,12%,7.33,12%,91,85%,12.29,3,7.53,17.4,0,1.99,0.74,0.35,0.16,5.07,52%,0.23,17.17,13.7km,0,24,63,6,0,"£29,000 p/w",£475K - £9.4M
- - -,,72053588,Griffin Yow,AM (L),23,Westerlo,Jupiler Pro League,"1,619",1.33,1.45,2,1,0.67,0.12,67%,0.44,0.28,0.11,0.08,0.08,0.61,17%,4,0.22,41.97,87%,0.26,1.11,0.78,4.22,2.89,4.73,16%,7.45,14%,57,86%,13.45,3.67,6.34,16.12,0,2,0.95,0.44,0.11,3.67,14%,0,12.01,13.4km,0,24,33,1,0,"£3,000 p/w",£120K - £1.2M
- - -,,91178612,Chris Führich,AM (L),28,Stuttgart,Bundesliga,"3,019",1.22,1.52,3,0,1.49,0.11,48%,0.72,0.63,0.09,0.16,0.16,-2.5,6%,13,0.39,36.19,82%,0.31,1.58,0.78,3.61,4.92,4.35,19%,8.35,20%,103,80%,13.74,3.07,7.04,16.04,0,1.73,0.75,0.48,0.18,4.14,25%,0.03,17.26,13.8km,0,32,71,6,0,"£48,000 p/w",£7.4M - £11.5M
- - -,,83228377,Tiago Gouveia,AM (R),24,Nice,Ligue 1 Uber Eats,"1,283",1.61,1.33,3,1,1.12,0.16,56%,0.63,0.42,0.21,0.18,0.18,0.5,19%,4,0.28,36.27,89%,0.23,1.61,0.77,3.3,2.67,2.6,18%,2.67,16%,46,76%,11.5,3.09,6.31,12.98,0,1.68,0.21,0.14,0,5.82,20%,0,13.19,13.2km,0,30,25,7,0,"£11,000 p/w",£2.8M - £5.6M
- - -,Wnt,18115747,Cisse Sandra,AM (R),22,Club Brugge,Jupiler Pro League,"1,400",1.41,0.58,4,1,2.44,0.1,47%,1.16,0.96,0.26,0.23,0.23,0.36,11%,3,0.19,34.71,83%,0.27,2.12,0.77,4.11,3.47,6.81,12%,9.19,11%,59,88%,13.56,3.6,8.23,16.52,0.06,2.44,0.58,0.45,0.06,7.33,54%,0,13.05,14.0km,0,31,23,5,0,"£3,600 p/w",£130K - £1.3M
- - -,,25062522,Adam Karabec,AM (C),22,Lyon,Ligue 1 Uber Eats,"1,428",1.13,1.2,2,0,1.51,0.11,38%,0.57,0.69,0.13,0.17,0.17,-0.7,8%,3,0.19,42.29,85%,0.25,1.45,0.76,3.72,3.66,3.09,14%,6.05,18%,42,81%,14.24,3.91,5.8,15.82,0.06,1.83,0.63,-,0,3.28,44%,0.06,12.54,13.9km,0,14,19,0,0,"£3,500 p/w",£230K - £2.3M
- - -,,19258927,Caio Henrique,D (L),28,Monaco,Ligue 1 Uber Eats,"2,815",2.01,0.7,2,0,1.09,0.09,44%,0.48,0.77,0.06,0.1,0.1,-0.99,6%,7,0.22,51.57,89%,0.26,2.05,0.74,3.52,6.27,3.26,20%,9.62,21%,129,80%,10.68,3.1,13.75,12.79,0.22,3.04,0.93,0.74,0.22,4.64,46%,0.13,17.65,14.1km,0,21,23,7,0,"£52,000 p/w",£7M - £8.6M
- - -,,49039272,Eric Junior Dina Ebimbe,WB (R),25,Eintracht Frankfurt,Bundesliga,"2,347",1.53,1.15,3,0,1.3,0.1,32%,0.42,0.46,0.12,0.13,0.13,-0.37,9%,7,0.27,38.04,84%,0.25,1.88,0.73,2.68,4.91,5.83,17%,5.83,17%,85,86%,14.3,4.37,8.36,15.22,0.04,1.76,0.96,0.31,0.12,4.91,39%,0.04,16.53,13.8km,0,37,65,5,0,"£14,000 p/w",£7.4M - £11.5M
- - -,Int,27058392,Pierre-Emile Højbjerg,DM,30,Marseille,Ligue 1 Uber Eats,"2,845",1.52,1.17,5,1,2.02,0.09,50%,1.01,1.23,0.16,0.19,0.19,-0.9,8%,9,0.28,59.35,84%,0.2,1.58,0.73,1.3,7.34,0.89,18%,1.93,14%,102,75%,11.48,3.1,8.67,12.65,0.25,2.09,0.7,0.41,0.35,3.2,55%,0.19,19.93,14.3km,0,57,26,9,0,"£110,000 p/w",£7.2M - £10M
- - -,,91181039,Sirlord Conteh,ST (C),29,Heidenheim,Bundesliga,"1,125",1.36,1.04,2,0,1.6,0.16,45%,0.72,0.48,0.16,0.26,0.26,-1.28,10%,4,0.32,23.6,82%,0.24,1.44,0.72,2.32,1.44,4.88,21%,4.88,21%,53,83%,13.28,2.48,8.64,13.52,0.08,2.72,2.08,0.08,0,5.92,28%,0,11.76,13.6km,0,45,17,7,0,"£7,000 p/w",£75K - £750K
- - -,,2000114764,Kayden Pierre,D (R),23,Genk,Jupiler Pro League,"3,196",1.49,0.96,0,0,0.76,0.08,19%,0.14,0.56,-,0.06,0.06,-2.05,-,12,0.34,42.47,84%,0.32,1.8,0.7,3.66,6.65,9.46,14%,9.46,13%,112,81%,8.31,2.11,12.62,15.66,0.17,2.51,1.07,0.34,0.06,5.49,45%,0.08,18.87,13.5km,0,32,46,7,0,"£1,600 p/w",£70K - £700K
- - -,,18087973,Orel Mangala,DM,28,Lyon,Ligue 1 Uber Eats,"2,207",1.67,1.06,4,1,1.14,0.13,39%,0.45,0.65,0.16,0.15,0.15,0.44,14%,7,0.29,70.92,90%,0.21,1.51,0.69,1.06,8.16,0.86,36%,0.9,38%,68,66%,11.95,3.34,7.46,9.71,0.08,1.3,0.82,0.37,0.2,2.69,39%,0.08,13.95,14.2km,0,29,22,5,0,"£30,000 p/w",£11M - £13.5M
- - -,,55070279,Mama Baldé,ST (C),30,Brest,Ligue 1 Uber Eats,"1,961",1.38,1.29,8,1,2.52,0.15,47%,1.19,0.83,0.37,0.38,0.38,-0.37,15%,6,0.28,25.84,78%,0.27,1.38,0.69,2.71,2.11,4.59,16%,4.59,16%,86,78%,11.84,2.85,7.8,13.86,0,1.7,1.15,0.28,0.14,10.05,42%,0.09,12.44,13.4km,0,33,32,6,0,"£25,000 p/w",£325K - £3.2M
- - -,,48036653,Romain Del Castillo,AM (R),30,Brest,Ligue 1 Uber Eats,"2,354",1.49,1.11,4,0,0.99,0.16,35%,0.34,0.19,0.15,0.16,0.16,-0.06,15%,12,0.46,29.52,80%,0.33,1.3,0.69,2.33,2.06,5.2,20%,8.45,19%,85,78%,14.49,4.24,7.88,14.26,0.08,2.18,0.96,0.46,0.19,6.96,30%,0.04,15.33,13.6km,0,43,33,7,0,"£21,000 p/w",£7.2M - £8.6M
- - -,,12075128,Cheikh Sabaly,AM (L),27,Metz,Ligue 1 Uber Eats,"2,225",1.29,2.14,0,0,0.65,0.06,31%,0.2,0.36,-,0.04,0.04,-1.03,-,5,0.2,27.55,81%,0.21,1.05,0.69,2.35,3.6,2.99,18%,3.92,13%,105,76%,16.42,4.25,8.41,11.24,0,2.43,1.29,0.53,0.08,4.33,20%,0.04,16.91,13.6km,0,44,27,8,0,"£4,600 p/w",£375K - £3.8M
- - -,,92083800,Bakery Jatta,AM (R),27,Hamburg,Bundesliga,"1,975",1.41,1.14,2,0,1.41,0.11,39%,0.55,0.64,0.09,0.15,0.15,-1.38,6%,7,0.32,37.55,85%,0.3,1.78,0.68,5.15,2.87,3.87,20%,3.87,20%,97,79%,14.13,3.51,8.16,14.45,0.05,1.96,0.68,0.36,0.09,4.28,39%,0,13.58,13.4km,0,45,35,8,0,"£14,000 p/w",£55K - £5.6M
- - -,,18083780,Mathieu Maertens,AM (C),31,OH Leuven,Jupiler Pro League,"2,118",1.23,1.53,5,1,1.06,0.14,60%,0.64,0.25,0.21,0.15,0.15,1.54,20%,3,0.13,35.91,87%,0.18,1.44,0.68,1.36,2.68,0.72,10%,1.32,11%,70,83%,13.47,3.4,6.84,8.24,0.08,1.78,0.85,0.59,0.25,6.46,40%,0.13,11.22,13.9km,0,18,31,2,0,"£6,750 p/w",£190K - £1.9M
- - -,,39057654,Ísak Jóhannesson,M (C),23,FC Köln,Bundesliga,"2,390",1.02,1.17,3,1,1.17,0.1,35%,0.41,0.9,0.11,0.12,0.12,-0.21,10%,5,0.19,48.24,85%,0.2,1.13,0.68,1.05,2.94,1.58,19%,4.41,19%,75,75%,11.94,3.13,6.36,13.03,0.08,1.54,0.72,0.26,0.11,3.35,31%,0,11.9,13.5km,0,29,28,1,0,"£8,000 p/w",Not for Sale
- - -,,53104571,Simen Juklerød,D (L),32,Sint-Truiden,Jupiler Pro League,"2,792",1.68,1.1,1,0,0.42,0.06,46%,0.19,0.35,0.03,0.02,0.02,0.23,8%,5,0.16,37.97,84%,0.21,1.48,0.68,1.64,4,5.09,20%,8.7,17%,152,79%,11.41,3.35,14.41,13.41,0.1,2.55,1.42,0.68,0.1,5.16,68%,0.58,15.76,13.6km,0,32,14,4,0,"£2,300 p/w",Not for Sale
- - -,Unh,91204803,Denis Huseinbašić,M (C),24,FC Köln,Bundesliga,"2,546",0.92,1.2,2,0,1.34,0.09,42%,0.57,0.88,0.07,0.13,0.13,-1.58,5%,2,0.07,49.45,88%,0.19,1.27,0.67,1.41,2.79,1.17,17%,2.12,15%,102,69%,12.12,3.64,7.03,10.46,0.04,1.52,0.88,0.46,0.18,3.32,50%,0.07,12.16,13.4km,1,34,25,6,0,"£6,500 p/w",£450K - £4.4M
- - -,Wnt,2000261117,Shandre Campbell,M (L),20,Club Brugge,Jupiler Pro League,"1,629",1.33,0.55,4,0,1.82,0.2,42%,0.77,0.88,0.22,0.37,0.37,-2.76,12%,4,0.22,30.66,85%,0.22,1.38,0.66,2.65,1.99,2.93,17%,6.19,20%,48,69%,10.17,2.49,5.91,11.38,0.06,1.93,1.16,0.06,0,5.75,16%,0,10.94,14.0km,0,29,29,1,0,"£1,600 p/w",£2.8M - £5.8M
- - -,Int,96105401,Michał Skóraś,AM (R),26,Club Brugge,Jupiler Pro League,"2,184",1.52,0.7,3,1,1.03,0.12,44%,0.45,0.37,0.12,0.12,0.12,0.1,12%,7,0.29,32.18,84%,0.23,1.73,0.66,3.21,3.01,7.66,11%,8.32,10%,106,76%,14.34,3.21,8.12,15.04,0.08,2.35,1.48,0.37,0.25,5.52,19%,0,15.04,13.5km,0,52,33,6,0,"£6,500 p/w",£3.2M - £6.4M
- - -,Wnt,18060678,Thomas Foket,D (R),31,Anderlecht,Jupiler Pro League,"3,283",1.7,1.04,1,0,0.49,0.09,33%,0.16,0.3,0.03,0.05,0.05,-0.67,6%,8,0.22,49.43,91%,0.25,1.84,0.66,1.86,5.32,6.52,20%,6.63,20%,100,82%,7.98,2.41,11.18,10.64,0.16,1.92,1.1,0.49,0.16,6.17,41%,0.33,16.17,13.3km,0,25,37,6,0,"£11,750 p/w",Not for Sale
- - -,Wnt,36081836,Manolis Saliakas,D (R),29,St Pauli,Bundesliga,"1,644",1.42,1.75,0,0,0.77,0.06,36%,0.27,0.66,-,0.04,0.04,-0.81,-,1,0.05,37.01,79%,0.2,1.15,0.66,1.37,4.71,3.07,16%,7.72,12%,74,70%,8.43,2.68,13.19,13.74,0.27,2.57,1.42,0.6,0.22,4.38,31%,0.22,18.61,13.3km,0,40,8,10,1,"£16,000 p/w",£100K - £1M
- - B -,,48044735,Amine Gouiri,AM (L),26,Marseille,Ligue 1 Uber Eats,"1,649",1.2,1.26,5,0,2.62,0.19,54%,1.42,1.09,0.27,0.5,0.33,-4.18,10%,2,0.11,19.21,84%,0.19,0.93,0.65,1.64,1.64,1.53,10%,1.58,10%,17,53%,6.71,1.36,2.95,7.59,0,0.65,0.11,-,0,5.18,39%,0,8.08,12.1km,0,30,33,1,0,"£87,000 p/w",£18.5M - £23M
- - -,Wnt,2000009057,Carlos Borges,AM (R),22,Club Brugge,Jupiler Pro League,"2,477",1.34,1.09,4,0,2.03,0.13,45%,0.91,0.87,0.15,0.26,0.26,-3.07,7%,4,0.15,31.87,83%,0.21,1.67,0.65,4.65,2.14,5.12,12%,7.63,12%,103,90%,15.3,3.42,8.03,14.72,0.07,2.22,0.84,0.33,0.15,6.07,19%,0,11.74,13.5km,0,60,65,10,0,"£12,750 p/w",£11.5M - £14M
- - -,,2000052135,Abdallah Sima,AM (L),24,Lens,Ligue 1 Uber Eats,"1,938",1.63,1.49,9,0,3.02,0.13,42%,1.25,0.65,0.42,0.39,0.39,0.53,14%,8,0.37,37.29,82%,0.19,1.25,0.65,4.27,2.37,2,19%,2,18%,71,85%,12.68,2.74,7.8,13.51,0,2.32,0.79,0.46,0.05,8.78,65%,0.19,9.61,13.4km,0,27,39,2,0,"£25,000 p/w",£5M - £6.4M
- - -,Wnt,49047752,Valentin Gendrey,D (R),25,Hoffenheim,Bundesliga,"1,385",1.17,1.75,0,0,0.19,0.06,67%,0.13,0.19,-,0.01,0.01,-0.17,-,8,0.52,31.52,78%,0.22,1.49,0.65,2.66,4.55,8.64,15%,8.64,15%,72,82%,12.48,2.6,14.49,17.61,0.13,3.31,1.43,0.91,0.32,5.26,37%,0.19,24.63,15.0km,0,18,18,2,0,"£43,000 p/w",£275K - £8M
- - -,Wnt,2000104892,Eliesse Ben Seghir,AM (L),21,Bayer Leverkusen,Bundesliga,"1,274",1.27,2.12,0,0,0.92,0.07,15%,0.14,0.71,-,0.07,0.07,-0.93,-,3,0.21,33.63,83%,0.23,1.55,0.64,2.33,2.61,2.4,24%,2.68,23%,39,74%,13.78,3.18,5.44,12.65,0,1.7,0.71,0.35,0.14,4.52,16%,0,13.7,13.3km,0,13,30,3,0,"£11,500 p/w",£13M - £20M
- - C+ -,,49059203,Théo Le Bris,AM (L),23,Lorient,Ligue 1 Uber Eats,"2,280",1.46,0.83,4,3,1.93,0.09,39%,0.75,1.22,0.16,0.18,0.18,-0.51,8%,9,0.36,34.14,79%,0.22,1.66,0.63,3.04,3.71,4.07,18%,4.93,13%,88,83%,14.64,4.11,8.45,15.43,0.04,2.49,0.67,0.16,0,4.82,7%,0,14.09,13.6km,0,29,33,2,0,"£4,900 p/w",£550K - £3.7M
- - -,Inj,2000131736,Heriberto Jurado,AM (L),21,Cercle Brugge,Jupiler Pro League,"1,712",1.84,1.42,5,2,1.31,0.12,60%,0.79,0.68,0.26,0.15,0.15,2.07,20%,5,0.26,33.01,84%,0.23,1.68,0.63,2.37,2.79,4.1,14%,5.84,16%,55,89%,13.77,3.52,6.94,14.04,0,1.58,0.68,0.42,0.21,5.68,28%,0,14.4,13.7km,0,26,35,2,0,"£1,600 p/w",£11.5M - £17.5M
- - -,,37046941,Hans Hateboer,D (R),32,Rennes,Ligue 1 Uber Eats,"2,299",1.25,0.94,1,0,0.67,0.14,47%,0.31,0.16,0.04,0.09,0.09,-1.35,6%,5,0.2,53.4,85%,0.22,1.21,0.63,2.19,4.89,6.62,9%,6.62,9%,86,83%,12.37,3.64,10.96,16.56,0.08,2.51,1.06,0.31,0.16,5.36,70%,0.82,15.35,13.8km,0,26,35,9,0,"£28,000 p/w",£3.5M - £6.8M
- - -,,48040712,Mathieu Cafaro,AM (R),29,Paris FC,Ligue 1 Uber Eats,"1,582",1.88,1.99,3,0,0.97,0.13,47%,0.46,0.4,0.17,0.13,0.13,0.73,18%,5,0.28,40.16,86%,0.26,1.14,0.63,1.88,3.47,2.96,22%,6.49,19%,45,76%,14.39,3.87,9.5,14.11,0,2.16,1.14,0.28,0.17,4.61,23%,0.11,13.08,13.7km,0,24,14,4,0,"£6,000 p/w",£350K - £3.4M
- - -,Wnt,85023676,Thorgan Hazard,AM (L),33,Anderlecht,Jupiler Pro League,"3,175",1.87,1.13,4,0,1.42,0.13,46%,0.65,0.79,0.11,0.19,0.15,-2.72,8%,7,0.2,49.66,87%,0.2,0.99,0.62,3.54,3.06,1.87,15%,5.81,15%,84,81%,12.78,3.29,5.73,14.77,0,1.59,0.71,0.28,0.03,4.65,24%,0,9.95,13.0km,0,23,101,1,0,"£29,500 p/w",Not for Sale
- - -,,2000222621,Fritz Engel,AM (C),20,Mainz 05,Bundesliga,"1,589",1.59,0.96,3,0,1.87,0.11,39%,0.74,0.91,0.17,0.2,0.2,-0.53,9%,5,0.28,28.09,85%,0.22,1.02,0.62,1.36,1.98,1.76,16%,6.17,22%,49,86%,11.1,2.95,6,10.25,0,1.93,0.57,0.23,0.06,7.93,19%,0,8.33,13.4km,0,13,36,3,0,£825 p/w,£190K - £550K
- - -,,48034511,Pierre Lees-Melou,M (C),33,Paris FC,Ligue 1 Uber Eats,"2,745",1.48,2.2,2,1,1.21,0.06,43%,0.52,1.05,0.07,0.08,0.08,-0.3,5%,9,0.3,49.34,87%,0.17,1.31,0.62,1.38,4.82,0.72,15%,3.25,18%,107,71%,14.59,3.51,9.15,9.11,0.2,2.66,0.75,0.33,0.2,3.38,30%,0.03,10.1,13.3km,0,33,20,4,0,"£42,000 p/w",Not for Sale
- - -,,92079338,Ridle Baku,D (R),28,RB Leipzig,Bundesliga,"1,316",1.64,1.03,0,0,0.55,0.12,25%,0.14,0.14,-,0.07,0.07,-0.98,-,5,0.34,42.47,86%,0.27,1.78,0.62,3.69,5.13,10.53,12%,11.01,12%,63,89%,14.7,4.03,12.24,17.1,0.07,3.01,0.96,0.34,0.07,3.76,33%,0.07,17.03,14.7km,1,12,21,3,0,"£44,000 p/w",£6.8M - £10.5M
- - -,Int,96121228,Jakub Kamiński,AM (L),23,FC Köln,Bundesliga,"1,318",0.89,1.16,0,0,1.57,0.12,43%,0.68,0.82,-,0.19,0.19,-2.79,-,3,0.2,40.08,81%,0.23,1.3,0.61,4.51,4.71,6.01,10%,6.97,9%,54,87%,15.64,3.28,7.44,18.44,0.07,2.12,1.16,0.41,0.14,4.51,21%,0,13.52,13.8km,1,29,30,3,0,"£22,000 p/w",£7.2M - £11.5M
- - -,Wnt,55070229,Joris Kayembe,AM (L),31,Genk,Jupiler Pro League,"2,934",1.44,1.1,1,0,0.61,0.07,40%,0.25,0.43,0.03,0.04,0.04,-0.45,5%,3,0.09,51.01,89%,0.21,0.98,0.61,1.87,6.99,4.79,13%,8.96,13%,99,81%,8.04,2.12,13.01,11.9,0.12,2.12,1.29,0.8,0.12,4.42,48%,0.28,14.82,13.1km,0,26,18,4,0,"£5,750 p/w",£650K - £1.4M
- - -,Wnt,55027994,André Gomes,DM,32,Lille,Ligue 1 Uber Eats,"2,206",1.55,1.26,5,2,1.63,0.1,35%,0.57,1.14,0.2,0.16,0.12,1.16,13%,7,0.29,55.61,89%,0.21,1.51,0.61,0.61,4,0.78,28%,3.26,26%,46,74%,11.38,2.08,5.59,8.57,0.04,1.1,0.69,0.33,0.2,3.92,51%,0.12,9.38,13.1km,0,18,23,0,0,"£21,000 p/w",£800K
- - -,Int,91139869,Salih Özcan,DM,28,Dortmund,Bundesliga,"1,766",1.58,0.97,1,1,1.38,0.05,26%,0.36,1.17,0.05,0.07,0.07,-0.37,4%,2,0.1,61.97,88%,0.18,1.68,0.61,0.82,6.12,0.51,17%,1.17,30%,66,70%,10.45,2.65,8.97,9.02,0.1,1.83,0.82,0.05,0.05,3.31,58%,0.15,11.62,13.6km,0,33,10,8,0,"£73,000 p/w",£8.4M - £10.5M
