Rec,Inf,UID,Name,Best Pos,Age,Club,Division,Mins,Tgls/90,Tcon/90,Gls,Goals Outside Box,Shot/90,xG/shot,Shot %,ShT/90,Shots Outside Box/90,Gls/90,xG/90,NP-xG/90,xG-OP,Conv %,Ast,Asts/90,Ps A/90,Pas %,xA/90,OP-KP/90,Ch C/90,Drb/90,Pr passes/90,OP-Crs A/90,OP-Cr %,Crs A/90,Cr C/A,Tck A,Tck R,Pres A/90,Pres C/90,Poss Won/90,Poss Lost/90,K Tck/90,Int/90,Clr/90,Blk/90,Shts Blckd/90,Aer A/90,Hdr %,K Hdrs/90,Sprints/90,Dist/90,Gl Mst,Fls,FA,Yel,Red,Wage,Transfer Value
- - -,,29186418,Jack Clarke,AM (L),25,Ipswich Town,Sky Bet Championship,"2,507",2.05,1.22,13,1,1.83,0.21,61%,1.11,0.72,0.47,0.38,0.21,2.33,25%,9,0.32,34.93,82%,0.32,1.97,0.79,3.84,3.23,3.84,27%,4.16,25%,71,77%,16.77,4.95,7.47,15.08,0.04,2.19,0.61,0.22,0.04,6.28,30%,0,14.22,13.8km,0,34,53,2,0,"£40,000 p/w",£11M - £17M
- - -,Inj,29165656,Ryan Sessegnon,WB (L),26,Fulham,Premier League,"1,379",0.78,1.7,3,0,1.24,0.11,37%,0.46,0.39,0.2,0.14,0.14,0.9,16%,2,0.13,33.09,84%,0.26,1.57,0.78,3.2,2.74,5.35,14%,5.48,13%,60,82%,16.38,4.96,8.94,14.95,0,1.89,0.85,0.39,0.2,4.37,21%,0,15.34,14.2km,0,15,23,1,0,"£60,000 p/w",£8.8M - £13.5M
- - -,Wnt,29228252,Kwame Poku,AM (R),24,QPR,Sky Bet Championship,"1,156",1.32,1.48,3,1,1.95,0.11,32%,0.62,0.78,0.23,0.21,0.21,0.35,12%,6,0.47,30.99,81%,0.33,1.87,0.78,2.72,2.65,4.9,14%,8.25,14%,31,68%,11.06,2.65,5.29,16.43,0,1.48,1.01,0.16,0.08,5.14,14%,0,11.83,13.4km,0,9,21,0,0,"£2,500 p/w",£150K - £1.5M
- - -,,29076100,James Ward-Prowse,M (C),31,West Ham,Premier League,"2,433",1.26,1.55,5,3,1.44,0.11,56%,0.81,0.96,0.18,0.16,0.16,0.6,13%,7,0.26,50.42,85%,0.33,1.04,0.78,1,3.4,1.04,19%,7.55,35%,60,72%,12.69,4.22,6.18,12.28,0.04,1.74,0.89,0.37,0.22,2.07,23%,0.04,18.87,14.7km,1,29,28,7,1,"£115,000 p/w",Not for Sale
- - -,,49037698,Amine Adli,AM (L),26,Bournemouth,Premier League,"1,277",1.55,1.06,4,1,1.55,0.09,50%,0.78,0.92,0.28,0.14,0.14,2.07,18%,5,0.35,27.2,81%,0.34,1.69,0.78,2.82,3.24,5.29,9%,6.84,9%,58,84%,16.35,3.81,7.26,13.32,0,2.04,1.2,0.42,0.07,7.82,32%,0,14.87,14.2km,0,34,17,5,0,"£65,000 p/w",£15.5M - £24M
- - -,Int,28121568,Anthony Elanga,AM (R),24,Newcastle,Premier League,"1,170",1.38,1.69,1,0,1.85,0.1,33%,0.62,0.77,0.08,0.19,0.19,-1.47,4%,5,0.38,33.23,81%,0.25,2,0.77,4,1.85,4.69,18%,4.69,18%,51,78%,14.85,3.23,6.23,15.62,0.15,2.23,0.92,0.23,0.08,4.15,41%,0,12.54,14.0km,0,14,23,0,0,"£25,000 p/w",£15M - £23M
- - -,,37075182,Derry John Murkin,D (L),26,FC Utrecht,Eredivisie,"2,118",0.85,1.02,0,0,1.02,0.1,21%,0.21,0.47,-,0.1,0.1,-2.36,-,8,0.34,45,86%,0.29,1.57,0.76,3.44,2.97,5.01,23%,5.1,21%,91,79%,15.17,4.25,7.82,14.07,0.13,2,0.89,0.38,0.13,5.18,32%,0.08,10.5,13.3km,0,25,22,5,0,"£12,000 p/w",£3.7M - £5.8M
- - -,,28084930,Alex Iwobi,AM (L),30,Fulham,Premier League,"1,532",1,1.23,3,2,2.23,0.1,42%,0.94,1.06,0.18,0.23,0.23,-0.88,8%,4,0.23,34.37,81%,0.22,1.7,0.76,3.05,3.47,3.58,13%,3.58,13%,70,89%,15.92,4.29,9.52,15.33,0,2.76,0.76,0.06,0,5.52,49%,0.06,16.33,13.7km,0,18,26,1,0,"£80,000 p/w",£16.5M - £26M
- - -,,864168,Patrick van Aanholt,D (L),35,Sparta Rotterdam,Eredivisie,"2,485",1.41,0.87,0,0,0.69,0.06,32%,0.22,0.58,-,0.04,0.04,-1.12,-,5,0.18,53.42,86%,0.31,2.1,0.76,1.74,7.79,4.71,28%,8.98,28%,125,78%,11.44,3.01,14.34,13.04,0.18,2.5,1.23,0.47,0.07,3.98,61%,0.25,14.12,13.8km,0,26,10,7,0,"£11,000 p/w",£110K - £1.1M
- - -,Lst,61036775,Ryan Fraser,AM (R),32,Southampton,Sky Bet Championship,"1,545",1.46,1.63,0,0,1.46,0.13,40%,0.58,0.64,-,0.2,0.2,-3.36,-,5,0.29,32.68,81%,0.35,1.34,0.76,2.27,2.39,3.15,23%,7.69,20%,51,76%,11.65,2.68,7.75,13.4,0,2.62,1.11,0.58,0.17,5.59,6%,0,13.57,13.5km,0,9,29,0,0,"£42,000 p/w",£2.4M
- - -,Wnt,31042298,Femi Azeez,AM (R),24,Millwall,Sky Bet Championship,"1,911",1.65,0.71,6,3,2.4,0.1,41%,0.99,1.18,0.28,0.24,0.24,0.89,12%,6,0.28,28.49,81%,0.2,1.51,0.75,2.54,2.83,4.76,10%,5.56,7%,57,88%,15.31,3.91,7.72,14.55,0,1.6,1.51,0.19,0.09,8.9,28%,0.05,15.87,14.1km,0,45,30,6,0,"£7,000 p/w",£140K - £1.4M
- - -,,36096206,Dimitris Limnios,AM (R),28,Fortuna Sittard,Eredivisie,"1,586",1.36,1.31,2,1,1.42,0.07,32%,0.45,1.02,0.11,0.1,0.1,0.19,8%,9,0.51,32.46,83%,0.27,1.13,0.74,4.14,3.01,6.81,13%,10.67,9%,67,73%,13.45,3.01,8.17,16.46,0.11,2.89,1.02,0.28,0.06,4.71,27%,0.11,10.44,13.6km,0,19,23,3,0,"£14,750 p/w",£140K - £1.4M
- - -,Inj,28094856,Daniel James,AM (L),28,Leeds Utd,Premier League,"1,116",1.53,1.05,1,0,0.97,0.12,25%,0.24,0.4,0.08,0.12,0.12,-0.46,8%,4,0.32,39.27,80%,0.22,1.77,0.73,5.97,3.79,7.34,18%,10.56,16%,49,84%,15.16,4.19,7.26,20.24,0.16,2.58,2.1,0.65,0.08,3.39,7%,0,15.08,14.7km,0,24,20,2,0,"£50,000 p/w",£150K - £8M
- - -,Wnt,28109894,George Tanner,D (R),26,Bristol City,Sky Bet Championship,"1,739",1.91,1.09,0,0,0.47,0.12,33%,0.16,0.21,-,0.06,0.06,-1.09,-,4,0.21,50.2,88%,0.14,1.14,0.72,2.33,4.92,5.59,14%,5.59,13%,81,85%,11.54,3.83,11.7,12.83,0.16,2.43,1.09,0.83,0.21,4.76,42%,0.31,17.54,13.8km,1,24,17,7,1,"£8,000 p/w",£65K - £650K
- - -,,28128174,Andre Brooks,M (L),22,Sheffield United,Sky Bet Championship,"1,009",1.34,1.34,3,0,0.71,0.31,63%,0.45,0.18,0.27,0.22,0.22,0.49,38%,1,0.09,37.11,79%,0.11,1.25,0.71,2.14,4.82,5.53,8%,6.87,8%,42,86%,9.45,3.03,13.29,15.79,0.09,1.78,1.78,0.62,0.18,5.62,33%,0.09,12.67,14.3km,0,18,11,4,0,"£15,000 p/w",£475K - £9M
- - -,,18087020,Said Bakari,AM (R),31,Sparta Rotterdam,Eredivisie,"1,641",1.59,0.82,1,0,1.15,0.09,38%,0.44,0.71,0.05,0.1,0.1,-0.84,5%,4,0.22,40.42,84%,0.26,2.03,0.71,2.14,3.78,5.81,23%,9.38,20%,53,85%,11.52,2.74,10.04,14.7,0.05,2.41,0.88,0.22,0.05,4.5,28%,0.05,10.26,13.4km,0,13,24,2,0,"£6,000 p/w",Not for Sale
- - -,Inj,28122215,Kasey McAteer,AM (R),24,Ipswich Town,Sky Bet Championship,"1,145",2.44,1.02,1,0,1.65,0.17,33%,0.55,0.63,0.08,0.28,0.28,-2.55,5%,4,0.31,38.75,84%,0.21,2.04,0.71,4.01,3.38,6.21,18%,6.52,18%,32,78%,16.27,4.87,6.29,16.82,0,1.57,1.02,0.79,0.16,5.74,27%,0,18.16,14.2km,0,9,18,1,0,"£5,000 p/w",£5.8M - £7.2M
- - -,,28100015,Corey Blackett-Taylor,AM (L),28,Derby County,Sky Bet Championship,"1,657",1.3,1.47,1,0,1.68,0.09,32%,0.54,0.92,0.05,0.15,0.15,-1.77,3%,6,0.33,28.19,84%,0.29,1.52,0.71,4.4,2.72,5.54,13%,5.87,10%,50,86%,12.93,3.8,7.82,13.09,0,2.34,1.58,0.54,0.11,7.5,29%,0,13.74,13.8km,0,32,27,3,0,"£4,000 p/w",£24K - £240K
- - -,,28099981,Stephy Mavididi,AM (L),28,Leicester,Sky Bet Championship,"2,435",1.89,1.18,8,3,2.48,0.12,46%,1.15,0.89,0.3,0.3,0.3,-0.22,12%,6,0.22,36.11,83%,0.25,1.59,0.7,3.47,2.99,2.74,21%,3.22,18%,90,86%,13.23,3.36,7.43,14.23,0,2.22,0.52,0.44,0.04,6.65,63%,0.11,11.09,13.2km,0,29,64,1,0,"£10,000 p/w",£26M - £31M
- - -,,29235373,Rob Apter,AM (R),23,Charlton,Sky Bet Championship,"1,541",1.11,1.23,0,0,1.28,0.1,41%,0.53,0.58,-,0.13,0.13,-2.19,-,7,0.41,28.91,84%,0.29,1.46,0.7,1.69,2.39,5.84,15%,7.59,13%,48,92%,12.67,3.91,6.83,12.79,0,1.52,1.34,0.41,0.12,4.67,18%,0.12,11.91,13.3km,0,11,23,0,0,£500 p/w,£425K - £1.3M
- - -,,2000022703,Levi Smans,AM (C),22,sc Heerenveen,Eredivisie,"1,033",1.83,0.7,0,0,1.31,0.16,47%,0.61,0.78,-,0.21,0.14,-2.38,-,5,0.44,37.38,82%,0.24,1.74,0.7,1.57,2.88,1.05,26%,3.75,33%,34,79%,17.34,4.36,6.19,11.33,0,1.48,0.7,0.35,0.26,5.23,28%,0.09,8.28,14.1km,0,16,10,2,0,"£3,500 p/w",£325K - £3.2M
- - -,,37059427,Mitchell van Bergen,AM (R),26,Sparta Rotterdam,Eredivisie,"1,970",1.42,0.82,3,1,2.7,0.12,32%,0.87,1.19,0.14,0.32,0.32,-4.04,5%,6,0.27,36,86%,0.28,1.96,0.69,5.21,2.06,4.25,20%,4.8,18%,70,79%,15.94,4.34,7.54,13.61,0,2.38,0.64,0.14,0.05,6.94,25%,0,9.82,13.4km,0,19,34,1,0,"£8,000 p/w",£250K - £2.5M
- - -,,28115642,Ryan Longman,AM (R),25,Wrexham,Sky Bet Championship,"2,126",1.44,1.4,2,1,1.44,0.09,32%,0.47,0.85,0.08,0.13,0.13,-1.18,6%,8,0.34,28.79,84%,0.22,1.65,0.68,2.67,1.78,5.97,18%,7.11,17%,92,89%,16.72,4.53,6.9,13.72,0,2.07,2.03,0.34,0.21,5.63,23%,0.04,11.13,13.8km,0,41,39,9,0,"£6,000 p/w",£140K - £1.4M
- - -,,37071199,Sontje Hansen,AM (R),24,Middlesbrough,Sky Bet Championship,"1,995",1.58,1.94,6,1,1.67,0.15,43%,0.72,0.81,0.27,0.25,0.21,0.5,16%,2,0.09,25.85,79%,0.16,1.31,0.68,1.44,3.07,1.17,17%,2.66,7%,45,71%,10.65,2.62,6.32,9.47,0.09,2.12,1.17,0.36,0.18,6.9,16%,0.05,9.38,13.9km,0,9,18,0,0,"£7,000 p/w",£70K - £700K
- - -,Wnt,29175587,Leif Davis,D (L),26,Ipswich Town,Sky Bet Championship,"3,072",2.02,0.94,3,1,0.85,0.09,55%,0.47,0.7,0.09,0.08,0.08,0.34,10%,15,0.44,57.6,86%,0.29,1.52,0.67,2.46,8.44,2.87,16%,11.1,23%,126,85%,11.31,3.69,15.73,16.26,0.15,3.98,1.44,0.94,0.23,5.33,78%,0.44,16.44,14.0km,1,14,21,0,0,"£9,000 p/w",£15M - £19M
- - -,Inj,37024265,Steven Berghuis,AM (R),34,Ajax,Eredivisie,"2,676",1.18,0.77,9,5,2.15,0.11,45%,0.98,0.74,0.3,0.23,0.23,2.02,14%,9,0.3,42.75,85%,0.33,1.45,0.67,4.24,4.37,4.3,21%,8.37,20%,79,85%,15.07,5.15,7.06,16.72,0.03,1.55,0.4,0.17,0,5.89,50%,0.07,11.43,13.3km,1,48,77,4,0,"£57,000 p/w",Not for Sale
- - -,Lst,37017526,Jens Toornstra,M (C),37,Sparta Rotterdam,Eredivisie,"1,338",1.28,0.74,5,1,2.02,0.14,43%,0.87,0.87,0.34,0.28,0.23,0.8,17%,4,0.27,41.77,88%,0.19,1.01,0.67,1.82,2.89,1.21,24%,3.7,16%,27,81%,13.18,3.3,5.04,9.55,0.07,1.14,0.67,0.2,0,5.45,25%,0.07,14.19,14.5km,0,14,13,3,0,"£7,000 p/w",£55K
- - -,,28100207,Harvey Barnes,AM (L),28,Newcastle,Premier League,"2,142",1.81,1.34,6,1,2.48,0.11,37%,0.92,1.26,0.25,0.27,0.27,-0.45,10%,9,0.38,34.2,82%,0.21,1.93,0.67,3.4,3.24,2.94,24%,2.94,24%,77,77%,13.61,3.57,6.81,14.08,0,1.81,0.71,0.17,0,4.75,23%,0,15.38,13.8km,0,19,40,0,0,"£80,000 p/w",£17M - £22M
- - -,,29175223,Ryan Giles,AM (L),26,Hull City,Sky Bet Championship,"2,954",1.16,1.1,7,1,1.13,0.11,57%,0.64,0.58,0.21,0.13,0.13,2.89,19%,5,0.15,36.41,81%,0.21,1.19,0.67,2.47,3.81,5.33,13%,7.71,12%,123,84%,13.31,3.78,12.86,15.29,0.06,2.92,1.31,0.79,0.21,7.4,72%,0.46,12.98,13.4km,0,32,32,7,0,"£35,000 p/w",£4M - £5.2M
- - -,,28088513,Harry Winks,DM,30,Leicester,Sky Bet Championship,"3,130",1.9,1.21,5,1,1.52,0.14,40%,0.6,0.69,0.14,0.22,0.22,-2.68,9%,8,0.23,46.29,86%,0.21,1.5,0.66,1.12,4.66,0.81,25%,2.27,35%,63,81%,11.42,3.11,6.61,9.89,0.12,1.35,0.35,0.29,0.14,3.45,24%,0,9.26,13.5km,0,20,34,5,0,"£90,000 p/w",£22M - £27M
- - -,,2000273472,Kiano Dyer,M (C),19,FC Volendam,Eredivisie,"1,094",1.23,2.06,1,0,1.23,0.13,20%,0.25,0.99,0.08,0.16,0.09,-0.91,7%,4,0.33,35.54,83%,0.2,1.15,0.66,0.99,4.36,1.97,19%,3.04,20%,41,73%,19.33,4.52,9.21,10.12,0.16,2.47,1.65,0.25,0,4.03,20%,0.16,10.37,13.6km,0,6,9,0,0,"£4,500 p/w",£6.2M - £9.4M
- - -,ESC,27118876,Victor Torp,M (C),26,Coventry,Sky Bet Championship,"3,304",1.25,1.06,3,1,1.36,0.07,34%,0.46,1.17,0.08,0.1,0.1,-0.72,6%,8,0.22,62.54,88%,0.21,1.28,0.65,1.04,4.22,0.71,21%,2.51,23%,82,80%,9.81,2.78,5.09,10.57,0.05,1.28,0.44,0.25,0.16,2.02,47%,0.14,4,12.0km,2,28,28,3,0,"£8,000 p/w",£180K - £1.8M
- - -,Wnt,29193606,Anis Mehmeti,AM (L),25,Bristol City,Sky Bet Championship,"2,620",1.55,1.1,7,2,1.85,0.11,41%,0.76,0.69,0.24,0.21,0.21,0.93,13%,6,0.21,34.28,84%,0.34,1.85,0.65,2.82,2.61,3.23,22%,8.55,24%,70,89%,14.87,3.61,6.56,13.57,0.03,1.68,0.55,0.17,0,5.19,25%,0,12.74,13.3km,0,25,44,2,0,"£9,000 p/w",£500K - £5.2M
- - -,,13200569,Ibrahim Sadiq,AM (R),26,AZ,Eredivisie,"1,251",1.08,1.08,1,0,1.73,0.13,38%,0.65,0.36,0.07,0.23,0.23,-2.23,4%,2,0.14,38.42,84%,0.21,1.08,0.65,3.74,3.96,5.47,15%,5.76,14%,38,82%,13.02,3.24,6.04,15.04,0,1.37,0.58,0.29,0,4.39,46%,0.07,10.58,13.1km,0,30,34,2,0,"£7,000 p/w",£5.6M - £6.8M
- - -,,83192919,Jota Silva,ST (C),26,Nottm Forest,Premier League,"3,220",1.54,1.4,6,1,1.73,0.11,50%,0.87,0.95,0.17,0.19,0.19,-0.67,10%,9,0.25,33.43,83%,0.2,1.62,0.64,3.49,2.4,4.05,18%,4.05,17%,167,87%,14.87,4.05,8.27,14.65,0.14,2.26,0.81,0.31,0.06,4.89,18%,0,14.25,14.0km,1,74,50,9,1,"£45,000 p/w",£13.5M - £17M
- - -,,2000021340,Taylor Booth,AM (R),25,FC Twente,Eredivisie,"2,121",1.27,1.1,2,1,1.23,0.1,41%,0.51,0.59,0.08,0.12,0.12,-0.92,7%,7,0.3,38.44,86%,0.27,1.53,0.64,4.16,2.97,6.2,15%,9.97,15%,98,76%,15.95,4.41,8.19,16.08,0,2.29,0.55,0.38,0.08,5.05,23%,0,11.97,13.6km,0,36,33,4,0,"£8,000 p/w",£400K - £7M
- - -,Wnt,29240378,David Møller Wolfe,D (L),24,Wolves,Premier League,"1,562",0.81,1.79,2,0,0.58,0.1,30%,0.17,0.29,0.12,0.06,0.06,0.96,20%,3,0.17,43.04,86%,0.3,1.15,0.63,2.42,3.28,6.05,14%,6.34,14%,73,84%,13.54,3.34,11.41,15.5,0.12,3.57,1.5,0.69,0.23,2.94,33%,0.12,15.79,13.8km,0,33,19,4,0,"£8,000 p/w",£600K - £10M
- - -,,29090530,Solly March,WB (R),31,Brighton,Premier League,"2,560",1.2,1.05,1,1,0.95,0.06,33%,0.32,0.67,0.04,0.06,0.06,-0.73,4%,5,0.18,42.4,81%,0.21,1.62,0.63,3.06,2.85,3.59,17%,7.66,13%,78,78%,16.24,4.22,6.57,18.35,0,1.65,1.12,0.39,0.07,4.75,36%,0,16.28,13.6km,1,31,38,6,0,"£50,000 p/w",Not for Sale
- - -,,29084378,Jamie Allen,M (C),31,Coventry,Sky Bet Championship,"2,425",0.96,0.96,2,1,0.71,0.06,32%,0.22,0.67,0.07,0.04,0.04,0.87,11%,1,0.04,59.08,90%,0.17,0.93,0.63,0.85,4.71,0.78,18%,2.71,23%,57,82%,10.13,2.71,5.9,8.42,0.04,1.19,1.19,0.22,0.15,1.52,32%,0,7.35,12.9km,0,13,10,4,0,"£5,000 p/w",£160K - £1.6M
- - -,,37053976,Mees de Wit,M (L),28,AZ,Eredivisie,"2,000",1.26,1.3,3,0,0.45,0.11,60%,0.27,0.14,0.14,0.05,0.05,1.9,30%,7,0.32,40.63,88%,0.28,1.26,0.63,2.02,5.54,4.59,13%,8.46,15%,84,85%,14.27,4.05,10.67,13.1,0.18,2.52,1.4,0.45,0.18,5.04,40%,0.14,15.08,13.4km,1,26,24,4,1,"£3,500 p/w",£500K - £9.4M
- - -,,28127066,Jaden Philogene,AM (L),24,Ipswich Town,Sky Bet Championship,"3,156",1.83,1.06,9,1,2.51,0.12,47%,1.17,1.28,0.26,0.3,0.3,-1.4,10%,11,0.31,35.13,80%,0.21,1.57,0.63,4.22,2.85,6.3,15%,6.33,15%,106,87%,14.71,4.25,7.04,16.85,0,1.94,1,0.4,0.09,5.56,41%,0.06,13.8,13.6km,0,28,109,1,0,"£30,000 p/w",£15M - £23M
- - -,Lst,29106999,Sammie Szmodics,AM (C),30,Ipswich Town,Sky Bet Championship,"2,788",1.61,1.03,9,0,1.58,0.19,57%,0.9,0.68,0.29,0.29,0.24,-0.08,18%,6,0.19,33.67,82%,0.24,1.42,0.61,1.84,2.78,1.03,25%,1.16,28%,72,78%,12.49,3.32,5.81,11.01,0,1.71,0.74,0.32,0.13,4.71,21%,0,12.85,14.6km,1,24,52,2,0,"£30,000 p/w",£13M
- - -,Wnt,29162667,Marcus Tavernier,AM (L),27,Bournemouth,Premier League,"1,028",0.61,1.84,0,0,1.58,0.09,22%,0.35,0.88,-,0.14,0.14,-1.63,-,0,-,27.75,81%,0.12,1.23,0.61,1.66,2.54,3.76,8%,6.74,9%,43,93%,13.92,4.2,7.09,12.78,0,2.63,1.23,0.18,0,6.13,33%,0.18,15.93,14.4km,0,14,11,2,0,"£35,000 p/w",£7.2M
- - -,Lst,28058544,Bobby Decordova-Reid,AM (R),33,Leicester,Sky Bet Championship,"1,763",1.84,1.12,5,1,1.02,0.11,55%,0.56,0.61,0.26,0.11,0.11,2.75,25%,2,0.1,48.5,87%,0.19,1.23,0.61,3.73,3.62,2.25,19%,2.71,20%,65,88%,14.14,4.59,6.74,13.73,0,1.63,0.66,0.31,0,5.41,8%,0,13.58,13.8km,1,19,37,1,0,"£35,000 p/w",£2.7M
- - -,,37070319,Sydney van Hooijdonk,ST (C),26,NAC,Eredivisie,"2,207",1.63,1.3,11,1,2.94,0.14,54%,1.59,1.02,0.45,0.4,0.33,1.28,15%,4,0.16,25.73,83%,0.21,1.02,0.61,0.9,0.77,1.3,24%,2.41,21%,52,81%,8.73,2.24,4.53,8.85,0,0.9,0.49,0.2,0.08,13.7,43%,0.12,6.69,12.5km,1,47,37,5,0,"£11,500 p/w",£400K - £3.9M
- - -,IPR,2000065061,Oscar Gloukh,AM (C),22,Ajax,Eredivisie,"2,230",1.78,0.81,7,1,2.02,0.15,44%,0.89,1.09,0.28,0.31,0.31,-0.68,14%,8,0.32,56.74,89%,0.26,1.82,0.61,1.33,3.55,1.25,16%,2.54,6%,52,71%,10.29,2.95,5.04,9.4,0.04,1.17,0.36,0.2,0.08,3.11,21%,0,7.59,13.1km,0,12,29,1,0,"£11,750 p/w",£19M - £23M
- - -,Inj,67174729,Adama Traoré,AM (R),30,Fulham,Premier League,"1,047",0.95,1.98,2,0,2.06,0.11,21%,0.43,1.03,0.17,0.23,0.23,-0.7,8%,2,0.17,33.95,83%,0.26,1.63,0.6,4.99,3.09,7.05,11%,7.05,10%,36,83%,13.58,3.01,8.17,17.19,0,2.06,1.29,0.17,0,6.88,49%,0,10.57,13.9km,0,20,20,3,1,"£65,000 p/w",£8.2M
