Rec,Inf,UID,Name,Best Pos,Age,Club,Division,Mins,Tgls/90,Tcon/90,Gls,Goals Outside Box,Shot/90,xG/shot,Shot %,ShT/90,Shots Outside Box/90,Gls/90,xG/90,NP-xG/90,xG-OP,Conv %,Ast,Asts/90,Ps A/90,Pas %,xA/90,OP-KP/90,Ch C/90,Drb/90,Pr passes/90,OP-Crs A/90,OP-Cr %,Crs A/90,Cr C/A,Tck A,Tck R,Pres A/90,Pres C/90,Poss Won/90,Poss Lost/90,K Tck/90,Int/90,Clr/90,Blk/90,Shts Blckd/90,Aer A/90,Hdr %,K Hdrs/90,Sprints/90,Dist/90,Gl Mst,Fls,FA,Yel,Red,Wage,Transfer Value
- - -,,2000268884,João Simões,M (C),19,Sporting CP,Liga Portugal Betclic,"1,542",2.1,0.93,5,1,1.23,0.23,81%,0.99,0.29,0.29,0.28,0.24,0.14,24%,3,0.18,38.87,86%,0.24,1.46,0.88,2.33,2.39,0.76,23%,2.28,30%,30,67%,10.56,2.45,3.74,8.99,0.06,1.17,0.23,-,0,4.09,10%,0,9.22,13.8km,0,7,28,0,0,"£9,000 p/w",£375K - £3.9M
- - -,Wnt,2000134186,Mikel Jauregizar,M (C),22,Athletic Club,LALIGA EA SPORTS,"2,092",1.55,1.2,2,0,1.98,0.11,41%,0.82,1.25,0.09,0.22,0.22,-3.15,4%,5,0.22,59.02,89%,0.19,1.38,0.86,1.2,5.59,0.95,17%,1.51,18%,57,74%,13.08,3.53,7.83,9.12,0.04,2.02,0.65,0.34,0.13,3.61,24%,0,13.68,14.6km,2,23,7,2,0,"£3,500 p/w",£10M - £15.5M
- - -,,67294886,Gabri Veiga,M (C),24,Porto,Liga Portugal Betclic,"1,272",2.41,0.57,7,2,4.39,0.12,52%,2.26,2.33,0.5,0.53,0.36,-0.48,11%,4,0.28,62.48,87%,0.27,1.77,0.85,3.4,5.38,2.33,17%,3.4,21%,32,72%,10.54,2.97,6.58,13.09,0,1.91,0.07,0.21,0.07,4.81,56%,0,10.4,13.2km,0,19,27,3,0,"£230,000 p/w",£17M - £26M
- - -,Inj,67157520,Álex Berenguer,AM (L),30,Athletic Club,LALIGA EA SPORTS,"2,651",1.46,0.92,9,1,1.56,0.12,54%,0.85,0.81,0.31,0.19,0.19,3.32,20%,8,0.27,35.78,82%,0.32,1.56,0.85,3.77,3.84,3.87,19%,9.27,17%,76,86%,14.33,3.77,5.6,16.23,0,1.19,0.44,0.17,0.07,3.73,19%,0.03,14.6,13.7km,0,44,63,5,0,"£22,000 p/w",£18M - £28M
- - -,Wnt,95059117,Geny,AM (R),25,Sporting CP,Liga Portugal Betclic,"2,285",1.81,0.79,4,0,2.36,0.13,42%,0.98,0.95,0.16,0.3,0.3,-3.66,7%,7,0.28,36.2,85%,0.22,1.85,0.83,4.29,2.6,3.74,24%,3.78,24%,76,88%,14.02,3.66,6.58,12.96,0.04,2.25,0.51,0.55,0.12,3.7,26%,0,13.71,13.3km,0,29,38,6,0,"£15,000 p/w",£17M - £21M
- - -,Wnt,2000165730,Gabri Martínez,AM (L),23,Braga,Liga Portugal Betclic,"1,524",2.13,0.71,7,2,2.72,0.14,48%,1.3,1,0.41,0.37,0.37,0.76,15%,4,0.24,37.32,84%,0.26,2.19,0.83,4.37,3.54,5.2,15%,6.14,15%,43,77%,12.28,3.48,6.61,14.53,0,2.07,0.47,-,0,6.32,52%,0.06,10.28,13.2km,0,21,35,3,0,"£9,000 p/w",£475K - £4.8M
- - -,Inj,2000030956,Xander Severina,AM (R),25,Casa Pia,Liga Portugal Betclic,"1,308",1.03,1.79,3,0,2.2,0.12,50%,1.1,1.17,0.21,0.25,0.25,-0.69,9%,1,0.07,46.86,85%,0.2,0.83,0.83,5.64,5.57,3.1,27%,5.44,15%,36,86%,12.39,2.89,6.54,15.83,0,2.55,0.83,0.41,0.21,3.72,20%,0,9.08,13.1km,0,7,25,1,0,£600 p/w,£220K - £2.2M
- - -,,67276482,Ander Barrenetxea,AM (L),24,Real Sociedad,LALIGA EA SPORTS,"1,640",2.14,1.21,5,1,2.2,0.13,40%,0.88,0.55,0.27,0.29,0.24,-0.22,13%,6,0.33,34.02,81%,0.34,1.59,0.82,2.41,3.95,3.84,20%,5.1,15%,55,82%,14.65,3.95,8.84,14.1,0.11,2.2,0.44,0.38,0.22,6.31,31%,0.16,15.91,14.2km,0,26,23,1,0,"£30,000 p/w",£11.5M - £18M
- - -,Wnt,24065108,Martin Baturina,M (C),23,Como,Serie A TIM,"1,314",1.16,2.19,3,0,1.51,0.15,55%,0.82,1.1,0.21,0.22,0.22,-0.2,14%,2,0.14,42.88,85%,0.2,0.75,0.82,1.99,2.26,1.16,20%,5.41,29%,30,77%,10.62,3.15,4.86,11.99,0.21,1.71,0.82,0.27,0.14,1.99,10%,0,11.92,14.5km,1,14,20,1,0,"£25,000 p/w",£7M - £11M
- - -,,55038681,Rony Lopes,AM (R),30,Tondela,Liga Portugal Betclic,"2,658",1.25,1.52,9,3,1.83,0.14,43%,0.78,1.12,0.3,0.25,0.19,1.71,17%,9,0.3,31.96,82%,0.36,1.66,0.81,2.95,2.74,2.27,23%,7.14,31%,82,80%,12.77,2.74,7.35,13.78,0.1,2.23,0.34,0.1,0.07,5.32,17%,0,10.63,13.2km,0,49,43,6,0,"£16,000 p/w",£850K - £1.9M
- - -,Hol,37050603,Albert Guðmundsson,AM (R),28,Fiorentina,Serie A TIM,"3,019",1.61,0.8,12,0,2.36,0.15,51%,1.19,1.55,0.36,0.35,0.21,0.14,15%,10,0.3,38.9,86%,0.26,1.43,0.8,3.4,2.27,4.59,18%,10.02,22%,70,83%,9.99,2.59,5.22,16.28,0.03,1.58,0.42,0.12,0.03,3.1,14%,0,8.56,12.9km,0,40,71,8,0,"£54,000 p/w",£27M - £30M
- - -,Wnt,2000083915,Wesley,D (R),22,Roma,Serie A TIM,"1,234",1.68,1.68,1,0,0.66,0.08,33%,0.22,0.51,0.07,0.05,0.05,0.28,11%,4,0.29,38.36,86%,0.31,1.9,0.8,3.65,5.11,10.21,16%,10.21,16%,50,82%,12.62,3.06,10.79,15.46,0.22,3.5,0.8,0.51,0.15,3.06,26%,0,20.35,14.4km,0,27,19,2,0,"£3,500 p/w",£120K - £1.2M
- - -,,28127273,Jonathan Rowe,AM (L),23,Bologna,Serie A TIM,"2,495",1.66,1.23,12,3,1.77,0.12,57%,1.01,0.72,0.43,0.21,0.21,6.12,24%,6,0.22,41.74,84%,0.3,2.2,0.79,3.54,4,3.82,24%,5.81,25%,102,84%,15.62,3.93,7.47,15.47,0,1.73,0.61,0.25,0,4.55,37%,0,12.41,13.3km,0,34,39,4,0,"£14,750 p/w",£13M - £15.5M
- - -,,2000202295,Victor Froholdt,M (C),20,Porto,Liga Portugal Betclic,"1,365",2.11,0.73,6,2,2.97,0.11,60%,1.78,1.19,0.4,0.34,0.34,0.89,13%,1,0.07,48.4,85%,0.28,2.18,0.79,3.23,5.87,6.33,13%,6.33,12%,45,84%,12,3.89,6.33,14.51,0.07,1.71,0.26,0.26,0.13,5.87,43%,0,10.95,13.2km,0,9,23,1,0,"£18,500 p/w",£19M - £24M
- - -,Inj,98041215,Rubén Vargas,AM (L),27,Sevilla,LALIGA EA SPORTS,"2,704",1.46,1.46,6,2,1.26,0.14,50%,0.63,0.37,0.2,0.18,0.18,0.54,16%,11,0.37,33.88,82%,0.35,1.3,0.77,3.56,4.23,5.56,17%,10.38,11%,87,83%,13.11,3.06,6.46,15.61,0,1.93,0.57,0.17,0.03,4.16,21%,0,12.35,13.7km,1,37,51,5,0,"£22,000 p/w",£4.6M - £6M
- - -,Inj,2000101061,Gerard Martín,D (L),24,Barcelona,LALIGA EA SPORTS,"1,417",2.48,0.89,0,0,0.44,0.08,0%,0,0.25,-,0.03,0.03,-0.54,-,2,0.13,71.33,89%,0.2,1.84,0.76,1.71,10.8,0.95,19%,1.02,13%,55,80%,10.04,3.05,13.78,9.84,0.13,2.41,0.64,0.64,0.19,5.02,62%,0,12,13.9km,0,17,17,0,0,"£1,600 p/w",£6.8M
- - -,,19301564,Safira,ST (C),31,Santa Clara,Liga Portugal Betclic,"1,183",1.9,0.76,8,0,2.81,0.19,49%,1.37,0.99,0.61,0.55,0.55,0.8,22%,4,0.3,23.36,80%,0.28,1.52,0.76,1.75,1.75,0.84,36%,0.84,36%,26,81%,7.3,1.6,4.95,8.44,0,1.07,0.38,0.08,0,10.8,37%,0,7.38,12.5km,0,16,13,0,0,"£2,100 p/w",Not for Sale
- - -,,67196000,Luis Rioja,AM (L),32,Valencia,LALIGA EA SPORTS,"1,420",1.84,1.08,5,3,2.41,0.12,39%,0.95,1.52,0.32,0.3,0.3,0.31,13%,5,0.32,38.73,82%,0.26,1.39,0.76,4.63,2.92,4.82,14%,7.99,11%,53,89%,11.92,3.36,6.59,17.81,0,1.77,0.63,0.44,0.19,2.92,22%,0,15.91,14.1km,0,17,18,1,0,"£20,000 p/w",£190K - £6.2M
- - -,,78040720,Matías Vecino,M (C),34,Lazio,Serie A TIM,"2,014",1.34,0.63,6,1,1.56,0.11,40%,0.63,0.54,0.27,0.18,0.18,2.03,17%,7,0.31,49.16,87%,0.19,1.65,0.76,1.07,3.26,0.89,40%,0.89,40%,47,87%,10.14,2.46,6.48,9.43,0.09,1.61,0.22,0.22,0,4.96,47%,0.4,9.16,13.0km,0,21,26,1,1,"£64,000 p/w",Not for Sale
- - -,,67258842,Carlos Vicente,AM (R),27,Alavés,LALIGA EA SPORTS,"2,254",1.6,1,3,1,1.8,0.12,58%,1.04,0.88,0.12,0.22,0.22,-2.51,7%,5,0.2,35.58,85%,0.22,1.56,0.76,2.6,3.51,4.75,19%,5.27,20%,86,90%,14.41,3.23,7.83,14.37,0.04,2.24,0.96,0.32,0.12,5.59,45%,0.12,15.09,13.6km,0,40,33,5,0,"£8,500 p/w",£3.6M - £5.6M
- - -,,19380454,Matheus Pereira,D (L),25,Santa Clara,Liga Portugal Betclic,"2,140",2.14,1.43,0,0,0.63,0.08,13%,0.08,0.46,-,0.05,0.05,-1.2,-,8,0.34,37.26,86%,0.22,1.64,0.76,1.85,5.47,7.4,14%,10.93,16%,67,82%,10.77,3.07,11.4,11.86,0.04,2.52,0.76,0.63,0.29,3.32,43%,0.08,17.87,13.5km,1,19,13,5,0,"£5,000 p/w",£300K - £3M
- - -,,83111471,Jovane Cabral,AM (R),27,Estrela da Amadora SAD,Liga Portugal Betclic,"1,920",1.5,1.83,5,1,1.08,0.17,52%,0.56,0.42,0.23,0.19,0.19,0.99,22%,5,0.23,38.86,89%,0.26,1.22,0.75,3.56,2.39,1.55,21%,4.22,21%,62,82%,11.62,2.34,5.72,12,0.05,1.69,0.98,0.23,0.09,4.12,15%,0.05,7.31,12.6km,0,16,29,1,0,"£9,000 p/w",£7.2M - £9.2M
- - -,,67277845,Borja Sainz,AM (L),25,Porto,Liga Portugal Betclic,"2,424",2.34,1,8,3,1.97,0.14,53%,1.04,1.04,0.3,0.27,0.27,0.62,15%,10,0.37,34.94,84%,0.28,1.49,0.74,2.78,4.16,4.2,21%,4.23,20%,68,82%,11.18,3.12,5.31,12.85,0.04,1.41,0.41,0.15,0.04,5.09,15%,0.04,11.03,12.9km,0,32,59,4,0,"£15,000 p/w",£11.5M - £14M
- - -,,2000107424,Roger Fernandes,AM (R),20,Braga,Liga Portugal Betclic,"2,929",1.91,0.68,10,1,3.5,0.11,34%,1.2,2.12,0.31,0.37,0.37,-2.15,9%,13,0.4,33.62,84%,0.31,1.87,0.74,4.92,2.55,4.73,22%,5.99,19%,94,82%,12.57,3.56,6.67,14.44,0,1.66,0.22,0.4,0.06,6.11,19%,0,10.88,12.8km,0,26,54,4,0,"£10,750 p/w",£8.2M - £12.5M
- - -,Wnt,83111519,Daniel Bragança,DM,27,Sporting CP,Liga Portugal Betclic,"2,585",1.98,0.94,5,0,1.29,0.12,41%,0.52,0.84,0.17,0.16,0.16,0.39,14%,7,0.24,55.36,89%,0.26,1.85,0.73,1.98,5.12,1.22,22%,5.47,34%,69,80%,11.38,2.89,7.28,10.27,0.1,1.91,0.42,0.17,0.17,2.33,24%,0,14.9,14.2km,0,16,22,1,0,"£18,000 p/w",£18M - £23M
- - -,,67179156,Aleix Febas,M (C),30,Elche,LALIGA EA SPORTS,"1,488",1.09,1.63,2,1,1.27,0.09,33%,0.42,0.85,0.12,0.12,0.12,0.01,10%,3,0.18,57.58,87%,0.19,1.15,0.73,1.75,5.26,0.85,24%,2.72,35%,49,76%,11.98,2.84,5.62,11.13,0,1.15,0.91,0.42,0.06,2.06,18%,0,8.71,13.4km,0,20,13,2,0,"£4,200 p/w",£170K - £1.7M
- - -,Inj,55070295,João Carvalho,AM (C),29,Estoril Praia,Liga Portugal Betclic,"1,626",1.05,1.38,2,0,1.22,0.13,18%,0.22,0.66,0.11,0.16,0.16,-0.81,9%,3,0.17,38.86,85%,0.21,1.16,0.72,2.38,4.21,1.88,18%,3.38,14%,45,87%,10.79,2.77,5.26,10.68,0.06,1.16,0.83,0.28,0.11,3.71,22%,0,8.97,12.8km,0,13,28,4,0,"£10,000 p/w",£100K - £1M
- - -,,67258414,Sergio Gómez,AM (L),25,Real Sociedad,LALIGA EA SPORTS,"2,388",1.24,1.32,6,1,1.55,0.13,49%,0.75,0.64,0.23,0.19,0.19,0.83,15%,4,0.15,34.15,84%,0.28,1.47,0.72,2.75,3.84,3.92,23%,7.31,21%,98,87%,14.47,3.66,8.56,14.59,0.11,2.53,0.9,0.41,0.11,4.33,23%,0,14.51,13.7km,0,29,27,5,0,"£44,000 p/w",£12M - £18M
- - -,,67196202,Kike Barja,AM (L),29,Osasuna,LALIGA EA SPORTS,"1,648",1.37,1.69,0,0,0.82,0.14,47%,0.38,0.27,-,0.12,0.12,-2.13,-,5,0.27,38.45,88%,0.19,1.04,0.71,3,2.08,3.28,28%,5.13,23%,80,85%,17.04,4.04,7.37,13.65,0.05,2.18,0.6,0.33,0.11,3.44,14%,0,10.87,13.5km,0,19,34,2,0,"£8,000 p/w",£450K - £4.4M
- - -,,27129146,Gustav Isaksen,AM (R),25,Lazio,Serie A TIM,"1,397",1.22,0.58,3,2,1.87,0.14,34%,0.64,1.03,0.19,0.27,0.27,-1.19,10%,3,0.19,55.79,85%,0.27,1.93,0.71,4.06,4.19,2.58,28%,4.38,37%,52,81%,12.69,4.19,7.41,17.72,0,1.74,0.39,0.19,0.06,4.51,29%,0,12.76,13.6km,0,38,33,7,0,"£37,000 p/w",£6.8M - £10.5M
- - -,Wnt,83169004,Zaidu Sanusi,D (L),28,Porto,Liga Portugal Betclic,"1,533",2.11,1,3,0,1.29,0.07,41%,0.53,0.82,0.18,0.1,0.1,1.38,14%,3,0.18,55.42,88%,0.3,2.11,0.7,2.99,7.98,5.64,19%,11.68,19%,74,84%,10.45,2.7,14.5,14.44,0.06,2.82,1.17,0.35,0,5.05,78%,0.18,15.15,14.4km,0,32,6,6,0,"£15,000 p/w",£350K - £3.5M
- - -,,83206395,Francisco Moura,M (L),26,Porto,Liga Portugal Betclic,"2,612",1.93,0.86,1,1,0.83,0.08,25%,0.21,0.62,0.03,0.07,0.07,-0.92,4%,11,0.38,59.89,89%,0.38,1.52,0.69,2.07,8.96,5.13,21%,11.96,12%,67,78%,8.79,2.52,13.68,12.82,0.1,2,0.9,0.59,0.17,4.41,70%,0.21,15.92,13.6km,1,38,16,10,0,"£17,000 p/w",£6.6M - £8.4M
- - -,IPR,42077304,Manor Solomon,AM (L),26,Villarreal,LALIGA EA SPORTS,"2,618",1.72,1.55,6,2,1.17,0.11,62%,0.72,0.65,0.21,0.13,0.13,2.25,18%,10,0.34,34.03,80%,0.2,1.48,0.69,3.06,4.85,2.54,15%,4.3,10%,104,83%,12.55,3.51,7.77,13.51,0,2.13,0.52,0.41,0.07,3.99,19%,0,15.19,13.5km,0,21,53,1,0,"£45,000 p/w",£9.6M - £15M
- - -,,1510305,Pedro,AM (C),38,Lazio,Serie A TIM,"2,884",1.19,0.62,4,2,0.97,0.13,29%,0.28,0.5,0.12,0.12,0.1,0.12,13%,2,0.06,53.14,88%,0.19,1.25,0.69,2.65,4.03,2.15,15%,3.12,17%,106,78%,12.92,3.9,4.81,14.85,0,0.87,0.53,0.37,0.06,2.93,18%,0,12.26,13.0km,0,34,57,5,0,"£54,000 p/w",£650K - £1.4M
- - -,,67107819,Denis Suárez,AM (C),32,Alavés,LALIGA EA SPORTS,"2,796",1.51,1.16,10,4,1.58,0.12,43%,0.68,0.9,0.32,0.19,0.14,3.97,20%,6,0.19,35.54,81%,0.22,1.35,0.68,1.83,4.09,2.12,14%,5.67,18%,97,78%,12.59,3.67,5.92,13.97,0.13,1.35,0.52,0.35,0.13,3.93,21%,0.03,12.33,13.1km,1,31,41,4,0,"£60,000 p/w",Not for Sale
- - -,,84109364,Luquinhas,AM (L),29,Santa Clara,Liga Portugal Betclic,"2,805",1.83,1.6,10,2,2.02,0.15,46%,0.93,0.9,0.32,0.3,0.3,0.72,16%,11,0.35,31.44,82%,0.24,1.67,0.67,3.56,3.98,3.5,18%,3.5,18%,89,88%,13.44,3.5,7.16,10.94,0.03,2.28,0.77,0.55,0.13,4.46,16%,0,14.37,13.5km,2,14,41,2,0,"£2,200 p/w",£12K - £5.6M
- - -,,2000055904,Diego López,AM (R),24,Valencia,LALIGA EA SPORTS,"2,558",1.37,1.16,6,1,1.69,0.15,54%,0.91,0.67,0.21,0.25,0.25,-1.16,13%,8,0.28,36.98,84%,0.22,1.37,0.67,4.22,2.04,3.55,10%,3.55,9%,93,81%,12.88,3.48,7.04,15.55,0.07,2.08,0.91,0.18,0.04,4.43,39%,0.07,13.93,13.6km,0,68,42,6,0,"£15,000 p/w",£11M - £17M
- - -,Int,18097159,Alexis Saelemaekers,AM (L),26,Fiorentina,Serie A TIM,"1,221",1.84,0.96,1,0,1.25,0.11,29%,0.37,0.44,0.07,0.14,0.14,-0.87,6%,2,0.15,39.51,86%,0.13,1.03,0.66,2.8,2.95,3.98,20%,3.98,20%,34,94%,15.55,4.28,7.59,12.97,0.07,1.62,0.52,0.44,0.15,4.64,38%,0,14.59,13.6km,0,20,25,5,0,"£19,250 p/w",£400K - £4M
- - -,,67155012,Rubén García,AM (R),32,Osasuna,LALIGA EA SPORTS,"1,372",1.25,1.71,2,1,1.77,0.07,41%,0.72,1.31,0.13,0.13,0.13,0.05,7%,4,0.26,38.57,87%,0.21,0.72,0.66,2.82,2.23,1.44,36%,4.59,27%,54,83%,17.19,3.8,6.1,12.92,0.07,1.71,0.79,0.46,0.2,3.94,13%,0,11.74,13.3km,0,17,22,2,0,"£25,000 p/w",£550K - £5.6M
- - -,Inj,43061433,Davide Zappacosta,D (R),33,Atalanta,Serie A TIM,"1,927",1.77,1.45,2,0,1.26,0.1,44%,0.56,0.51,0.09,0.13,0.13,-0.78,7%,7,0.33,33.07,83%,0.26,1.54,0.65,2.1,4.34,7.8,12%,8.69,12%,94,80%,15.79,3.22,10.98,15.04,0.05,3.32,0.89,0.65,0.19,3.13,46%,0.19,17.65,14.2km,0,24,27,4,0,"£32,000 p/w",£1.1M - £2.3M
- - -,,37065498,Zakaria Aboukhlal,AM (R),26,Torino,Serie A TIM,"2,623",2.02,1.34,9,2,2.09,0.1,57%,1.2,0.82,0.31,0.22,0.22,2.6,15%,3,0.1,29.41,82%,0.22,1.89,0.65,2.61,2.06,6.21,18%,6.21,17%,101,87%,15.17,3.6,8.68,13.66,0.03,2.09,0.75,0.34,0.03,7.07,25%,0.03,14.31,13.6km,2,19,43,1,0,"£6,000 p/w",£5.2M - £8M
- - -,,2000164873,Rodrigo Alonso,M (C),23,Moreirense,Liga Portugal Betclic,"2,108",1.07,1.07,0,0,1.45,0.09,50%,0.73,0.9,-,0.14,0.14,-3.22,-,5,0.21,47.86,91%,0.23,1.07,0.64,0.85,2.78,0.56,38%,0.56,38%,58,76%,13.06,2.99,7.47,7,0.04,1.67,0.73,0.17,0.13,4.06,53%,0.51,7.22,12.8km,1,28,17,5,0,"£1,700 p/w",£1.5M - £3.2M
- - -,Wnt,67277677,Jofré Carreras,AM (R),24,Espanyol,LALIGA EA SPORTS,"2,118",1.15,1.83,0,0,1.02,0.09,29%,0.3,0.59,-,0.1,0.1,-2.24,-,6,0.25,33.1,82%,0.2,1.27,0.64,2.38,3.14,4.21,14%,7.78,8%,80,80%,15.04,3.44,7.05,14.24,0,2.12,0.89,0.68,0.17,4.33,27%,0,10.96,13.3km,1,25,26,4,0,"£12,000 p/w",£4.2M - £8M
- - -,Wnt,78093159,Maximiliano Araújo,M (L),26,Sporting CP,Liga Portugal Betclic,"2,568",1.93,1.19,3,2,1.05,0.09,43%,0.46,0.67,0.11,0.1,0.1,0.22,10%,7,0.25,43.98,85%,0.24,1.54,0.63,4.17,6.2,6.59,13%,7.36,13%,105,85%,8.38,2.52,13.25,12.9,0.11,3.93,1.12,0.63,0.14,3.86,52%,0.07,18.68,13.8km,0,27,28,5,0,"£18,000 p/w",£5M - £6.4M
- - -,,49038940,Lucas Da Cunha,AM (L),24,Como,Serie A TIM,"2,297",1.02,1.72,1,0,1.37,0.12,37%,0.51,0.74,0.04,0.17,0.17,-3.35,3%,6,0.24,38.48,86%,0.2,1.1,0.63,2.74,3.96,3.33,22%,6.46,21%,65,83%,14.42,3.72,5.21,13.91,0,2,0.59,0.31,0.04,3.68,10%,0,14.26,13.3km,1,24,36,4,0,"£15,000 p/w",£55K - £5.6M
- - -,Wnt,2000040214,Jhon Solís,M (C),21,Girona,LALIGA EA SPORTS,"1,155",1.95,1.48,4,2,1.87,0.12,54%,1.01,1.01,0.31,0.22,0.22,1.23,17%,4,0.31,56.49,87%,0.16,1.56,0.62,0.94,5.53,1.32,14%,1.71,17%,38,87%,10.68,2.26,7.79,10.52,0.23,1.48,0.86,0.16,0.08,3.82,53%,0.31,13.71,14.1km,0,12,8,2,0,"£3,400 p/w",£600K - £5.8M
- - -,,83228747,Fábio Ronaldo,AM (L),25,Estrela da Amadora SAD,Liga Portugal Betclic,"2,175",1.45,1.78,3,0,1.37,0.14,45%,0.62,0.54,0.12,0.19,0.19,-1.48,9%,10,0.41,35.3,86%,0.25,0.99,0.62,3.93,1.99,1.49,34%,2.19,36%,88,91%,15.68,3.27,5.67,12.04,0.08,1.53,0.91,0.33,0.08,5.38,22%,0,10.39,12.9km,1,32,37,6,0,"£4,000 p/w",£120K - £1.2M
